Name,Term Type,Party,Start Date,End Date,State,District,Office Address,Phone,Last Name
Valerie P. Foushee,rep,Democrat,2023-01-03,2025-01-03,NC,4,1716 Longworth House Office Building Washington DC 20515-3304,202-225-1784,Foushee
Chuck Edwards,rep,Republican,2023-01-03,2025-01-03,NC,11,1505 Longworth House Office Building Washington DC 20515-3311,202-225-6401,Edwards
Wiley Nickel,rep,Democrat,2023-01-03,2025-01-03,NC,13,1133 Longworth House Office Building Washington DC 20515-3313,202-225-4531,Nickel
Jeff Jackson,rep,Democrat,2023-01-03,2025-01-03,NC,14,1318 Longworth House Office Building Washington DC 20515-0001,202-225-5634,Jackson
"Thomas H. Kean, Jr.",rep,Republican,2023-01-03,2025-01-03,NJ,7,251 Cannon House Office Building Washington DC 20515-3007,202-225-5361,Jr.
Robert Menendez,rep,Democrat,2023-01-03,2025-01-03,NJ,8,1007 Longworth House Office Building Washington DC 20515-3008,202-225-7919,Menendez
Gabe Vasquez,rep,Democrat,2023-01-03,2025-01-03,NM,2,1517 Longworth House Office Building Washington DC 20515-3102,202-225-2365,Vasquez
Nick LaLota,rep,Republican,2023-01-03,2025-01-03,NY,1,1530 Longworth House Office Building Washington DC 20515-3201,202-225-3826,LaLota
Anthony D’Esposito,rep,Republican,2023-01-03,2025-01-03,NY,4,1508 Longworth House Office Building Washington DC 20515-3204,202-225-5516,D’Esposito
Daniel S. Goldman,rep,Democrat,2023-01-03,2025-01-03,NY,10,245 Cannon House Office Building Washington DC 20515-3210,202-225-7944,Goldman
Michael Lawler,rep,Republican,2023-01-03,2025-01-03,NY,17,1013 Longworth House Office Building Washington DC 20515-3217,202-225-6506,Lawler
Marcus J. Molinaro,rep,Republican,2023-01-03,2025-01-03,NY,19,1207 Longworth House Office Building Washington DC 20515-3219,202-225-5441,Molinaro
Brandon Williams,rep,Republican,2023-01-03,2025-01-03,NY,22,1022 Longworth House Office Building Washington DC 20515-3222,202-225-3701,Williams
Nicholas A. Langworthy,rep,Republican,2023-01-03,2025-01-03,NY,23,1630 Longworth House Office Building Washington DC 20515-3223,202-225-3161,Langworthy
Greg Landsman,rep,Democrat,2023-01-03,2025-01-03,OH,1,1432 Longworth House Office Building Washington DC 20515-3501,202-225-2216,Landsman
Max L. Miller,rep,Republican,2023-01-03,2025-01-03,OH,7,143 Cannon House Office Building Washington DC 20515-3507,202-225-3876,Miller
Emilia Strong Sykes,rep,Democrat,2023-01-03,2025-01-03,OH,13,1217 Longworth House Office Building Washington DC 20515-3513,202-225-6265,Sykes
Josh Brecheen,rep,Republican,2023-01-03,2025-01-03,OK,2,1208 Longworth House Office Building Washington DC 20515-3602,202-225-2701,Brecheen
Val T. Hoyle,rep,Democrat,2023-01-03,2025-01-03,OR,4,1620 Longworth House Office Building Washington DC 20515-3704,202-225-6416,Hoyle
Lori Chavez-DeRemer,rep,Republican,2023-01-03,2025-01-03,OR,5,1722 Longworth House Office Building Washington DC 20515-3705,202-225-5711,Chavez-DeRemer
Andrea Salinas,rep,Democrat,2023-01-03,2025-01-03,OR,6,109 Cannon House Office Building Washington DC 20515-0001,202-225-5643,Salinas
Summer L. Lee,rep,Democrat,2023-01-03,2025-01-03,PA,12,243 Cannon House Office Building Washington DC 20515-3812,202-225-2135,Lee
Christopher R. Deluzio,rep,Democrat,2023-01-03,2025-01-03,PA,17,1222 Longworth House Office Building Washington DC 20515-3817,202-225-2301,Deluzio
Seth Magaziner,rep,Democrat,2023-01-03,2025-01-03,RI,2,1218 Longworth House Office Building Washington DC 20515-3902,202-225-2735,Magaziner
Russell Fry,rep,Republican,2023-01-03,2025-01-03,SC,7,1626 Longworth House Office Building Washington DC 20515-4007,202-225-9895,Fry
Andrew Ogles,rep,Republican,2023-01-03,2025-01-03,TN,5,151 Cannon House Office Building Washington DC 20515-4205,202-225-4311,Ogles
Nathaniel Moran,rep,Republican,2023-01-03,2025-01-03,TX,1,1541 Longworth House Office Building Washington DC 20515-4301,202-225-3035,Moran
Keith Self,rep,Republican,2023-01-03,2025-01-03,TX,3,1113 Longworth House Office Building Washington DC 20515-4303,202-225-4201,Self
Morgan Luttrell,rep,Republican,2023-01-03,2025-01-03,TX,8,1320 Longworth House Office Building Washington DC 20515-4308,202-225-4901,Luttrell
Monica De La Cruz,rep,Republican,2023-01-03,2025-01-03,TX,15,1415 Longworth House Office Building Washington DC 20515-4315,202-225-9901,Cruz
Jasmine Crockett,rep,Democrat,2023-01-03,2025-01-03,TX,30,1616 Longworth House Office Building Washington DC 20515-4330,202-225-8885,Crockett
Greg Casar,rep,Democrat,2023-01-03,2025-01-03,TX,35,1339 Longworth House Office Building Washington DC 20515-4335,202-225-5645,Casar
Wesley Hunt,rep,Republican,2023-01-03,2025-01-03,TX,38,1520 Longworth House Office Building Washington DC 20515-0001,202-225-5646,Hunt
Jennifer Kiggans,rep,Republican,2023-01-03,2025-01-03,VA,2,1037 Longworth House Office Building Washington DC 20515-4602,202-225-4215,Kiggans
Becca Balint,rep,Democrat,2023-01-03,2025-01-03,VT,0,1408 Longworth House Office Building Washington DC 20515-4500,202-225-4115,Balint
Marie Gluesenkamp Perez,rep,Democrat,2023-01-03,2025-01-03,WA,3,1431 Longworth House Office Building Washington DC 20515-4703,202-225-3536,Perez
Derrick Van Orden,rep,Republican,2023-01-03,2025-01-03,WI,3,1513 Longworth House Office Building Washington DC 20515-4903,202-225-5506,Orden
Harriet M. Hageman,rep,Republican,2023-01-03,2025-01-03,WY,0,1531 Longworth House Office Building Washington DC 20515-5000,202-225-2311,Hageman
Jennifer L. McClellan,rep,Democrat,2023-03-07,2025-01-03,VA,4,2417 Rayburn House Office Building Washington DC 20515-4604,202-225-6365,McClellan
Gabe Amo,rep,Democrat,2023-11-07,2025-01-03,RI,1,2233 Rayburn House Office Building Washington DC 20515-3901,202-225-4911,Amo
Celeste Maloy,rep,Republican,2023-11-21,2025-01-03,UT,2,166 Cannon House Office Building Washington DC 20515-4402,202-225-9730,Maloy
Thomas R. Suozzi,rep,Democrat,2024-02-13,2025-01-03,NY,3,1117 Longworth House Office Building Washington DC 20515-3203,202-225-3335,Suozzi
Timothy M. Kennedy,rep,Democrat,2024-05-06,2025-01-03,NY,26,2269 Rayburn House Office Building Washington DC 20515-3226,202-225-3306,Kennedy
Vince Fong,rep,Republican,2024-06-03,2025-01-03,CA,20,2468 Rayburn House Office Building Washington DC 20515-0520,202-225-2915,Fong
Michael A. Rulli,rep,Republican,2024-06-11,2025-01-03,OH,6,2082 Rayburn House Office Building Washington DC 20515-3506,202-225-5705,Rulli
Greg Lopez,rep,Republican,2024-07-08,2025-01-03,CO,4,2455 Rayburn House Office Building Washington DC 20515-0604,202-225-4676,Lopez
LaMonica McIver,rep,Democrat,2024-09-18,2025-01-03,NJ,10,106 Cannon House Office Building Washington DC 20515-3010,202-225-3436,McIver
"Bill Pascrell, Jr.",rep,Democrat,"January 3, 1997","August 21, 2024",New Jersey,9th District,"2104 Rayburn House Office Building, Washington, DC 20515",(202) 225-5751,Jr.
Sheila Jackson Lee,rep,Democrat,"January 3, 1995","July 19, 2024",Texas,18th District,"2470 Rayburn House Office Building, Washington, DC 20515",(202) 225-3816,Lee
Mike Gallagher,rep,Republican,"January 3, 2017","April 24, 2024",Wisconsin,8th District,"1230 Longworth House Office Building, Washington, DC 20515",(202) 225-5665,Gallagher
