Name,Term Type,Party,Start Date,End Date,State,District,Office Address,Phone
Jasmine Crockett,rep,Democrat,2023-01-03,2025-01-03,TX,30,1616 Longworth House Office Building Washington DC 20515-4330,202-225-8885
Greg Casar,rep,Democrat,2023-01-03,2025-01-03,TX,35,1339 Longworth House Office Building Washington DC 20515-4335,202-225-5645
Wesley Hunt,rep,Republican,2023-01-03,2025-01-03,TX,38,1520 Longworth House Office Building Washington DC 20515-0001,202-225-5646
Jennifer Kiggans,rep,Republican,2023-01-03,2025-01-03,VA,2,1037 Longworth House Office Building Washington DC 20515-4602,202-225-4215
Becca Balint,rep,Democrat,2023-01-03,2025-01-03,VT,0,1408 Longworth House Office Building Washington DC 20515-4500,202-225-4115
Marie Gluesenkamp Perez,rep,Democrat,2023-01-03,2025-01-03,WA,3,1431 Longworth House Office Building Washington DC 20515-4703,202-225-3536
Derrick Van Orden,rep,Republican,2023-01-03,2025-01-03,WI,3,1513 Longworth House Office Building Washington DC 20515-4903,202-225-5506
Harriet M. Hageman,rep,Republican,2023-01-03,2025-01-03,WY,0,1531 Longworth House Office Building Washington DC 20515-5000,202-225-2311
Jennifer L. McClellan,rep,Democrat,2023-03-07,2025-01-03,VA,4,2417 Rayburn House Office Building Washington DC 20515-4604,202-225-6365
Gabe Amo,rep,Democrat,2023-11-07,2025-01-03,RI,1,2233 Rayburn House Office Building Washington DC 20515-3901,202-225-4911
Celeste Maloy,rep,Republican,2023-11-21,2025-01-03,UT,2,166 Cannon House Office Building Washington DC 20515-4402,202-225-9730
Thomas R. Suozzi,rep,Democrat,2024-02-13,2025-01-03,NY,3,1117 Longworth House Office Building Washington DC 20515-3203,202-225-3335
Timothy M. Kennedy,rep,Democrat,2024-05-06,2025-01-03,NY,26,2269 Rayburn House Office Building Washington DC 20515-3226,202-225-3306
Vince Fong,rep,Republican,2024-06-03,2025-01-03,CA,20,2468 Rayburn House Office Building Washington DC 20515-0520,202-225-2915
Michael A. Rulli,rep,Republican,2024-06-11,2025-01-03,OH,6,2082 Rayburn House Office Building Washington DC 20515-3506,202-225-5705
Greg Lopez,rep,Republican,2024-07-08,2025-01-03,CO,4,2455 Rayburn House Office Building Washington DC 20515-0604,202-225-4676
LaMonica McIver,rep,Democrat,2024-09-18,2025-01-03,NJ,10,106 Cannon House Office Building Washington DC 20515-3010,202-225-3436
"Bill Pascrell, Jr.",rep,Democrat,"January 3, 1997","August 21, 2024",New Jersey,9th District,"2104 Rayburn House Office Building, Washington, DC 20515",(202) 225-5751
Sheila Jackson Lee,rep,Democrat,"January 3, 1995","July 19, 2024",Texas,18th District,"2470 Rayburn House Office Building, Washington, DC 20515",(202) 225-3816
Mike Gallagher,rep,Republican,"January 3, 2017","April 24, 2024",Wisconsin,8th District,"1230 Longworth House Office Building, Washington, DC 20515",(202) 225-5665
